============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:07:44 pm
  Module:                 cephalopode
  Technology libraries:   asap7sc7p5t_AO_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_INVBUF_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_OA_RVT_TT_ccs_211120 1.0
                          asap7sc7p5t_SEQ_RVT_TT_ccs_220123 1.0
                          asap7sc7p5t_SIMPLE_RVT_TT_ccs_211120 1.0
                          physical_cells 
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

          Instance                          Module                 Cell Count  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------
cephalopode                                                             33265  58873.807 30171.213    89045.020 
  inst_7                     reduction_unit                             24001  41448.724 21924.902    63373.626 
    inst_5                   arbi_unit                                  12059  21173.892 10452.803    31626.696 
      inst_7                 rb_rf                                       7757  13723.862  6726.301    20450.163 
        inst_17              dual_port_regfile                           6901  12434.291  5583.633    18017.924 
          inst_134           m_1020_1                                    1497   1932.725  1071.409     3004.134 
            inst_1           m_1148_1                                     953   1329.463   725.488     2054.951 
              inst_1         m_1149_1                                     953   1329.463   725.488     2054.951 
            inst_90          m_271_79_4362                                  6      6.065     2.494        8.559 
            inst_98          m_271_75_4354                                  6      5.832     2.494        8.326 
            inst_96          m_271_76_4356                                  6      5.832     2.494        8.326 
            inst_88          m_271_80_4366                                  6      5.832     2.494        8.326 
            inst_66          m_271_91_4390                                  6      5.832     2.494        8.326 
            inst_64          m_271_92_4392                                  6      5.832     2.494        8.326 
            inst_58          m_271_95_4398                                  6      5.832     2.494        8.326 
            inst_56          m_271_96_4400                                  6      5.832     2.494        8.326 
            inst_218         m_271_15_4218                                  5      5.365     1.995        7.360 
            inst_186         m_271_31_4254                                  5      5.365     1.995        7.360 
            inst_122         m_271_63_4328                                  5      5.365     1.995        7.360 
            inst_106         m_271_71_4346                                  5      5.365     1.995        7.360 
            inst_94          m_271_77_4358                                  5      5.365     1.995        7.360 
            inst_74          m_271_87_4380                                  5      5.365     1.995        7.360 
            inst_62          m_271_93_4394                                  5      5.365     1.995        7.360 
            inst_54          m_271_97_4402                                  5      5.365     1.995        7.360 
            inst_50          m_271_99_4406                                  5      5.365     1.995        7.360 
            inst_34          m_271_107_4188                                 5      5.365     1.995        7.360 
            inst_226         m_271_11_4194                                  5      5.132     1.995        7.127 
            inst_224         m_271_12_4212                                  5      5.132     1.995        7.127 
            inst_216         m_271_16_4220                                  5      5.132     1.995        7.127 
            inst_194         m_271_27_4244                                  5      5.132     1.995        7.127 
            inst_192         m_271_28_4246                                  5      5.132     1.995        7.127 
            inst_184         m_271_32_4256                                  5      5.132     1.995        7.127 
            inst_162         m_271_43_4284                                  5      5.132     1.995        7.127 
            inst_160         m_271_44_4286                                  5      5.132     1.995        7.127 
            inst_154         m_271_47_4292                                  5      5.132     1.995        7.127 
            inst_152         m_271_48_4294                                  5      5.132     1.995        7.127 
            inst_130         m_271_59_4318                                  5      5.132     1.995        7.127 
            inst_128         m_271_60_4322                                  5      5.132     1.995        7.127 
