============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.14-s037_1
  Generated on:           Feb 06 2024  05:10:39 pm
  Module:                 cephalopode
  Operating conditions:   PVT_0P7V_25C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage    Dynamic     Total   
          Instance            Cells Power(nW)  Power(nW)  Power(nW) 
--------------------------------------------------------------------
cephalopode                   33265  3124.235 553759.053 556883.288 
  inst_7                      24001  2154.376 284551.420 286705.796 
    inst_5                    12059  1114.381 160249.517 161363.898 
      inst_7                   7757   688.748 112382.643 113071.391 
        inst_17                6901   614.829 105334.636 105949.464 
          inst_133             1497    86.505      0.000     86.505 
            inst_1              953    53.048      0.000     53.048 
              inst_1            953    53.048      0.000     53.048 
            inst_140              3     0.467      0.000      0.467 
            inst_204              3     0.467      0.000      0.467 
            inst_138              4     0.465      0.000      0.465 
            inst_202              4     0.465      0.000      0.465 
            inst_2                2     0.441      0.000      0.441 
            inst_236              3     0.431      0.000      0.431 
            inst_124              4     0.429      0.000      0.429 
            inst_136              4     0.429      0.000      0.429 
            inst_188              4     0.429      0.000      0.429 
            inst_200              4     0.429      0.000      0.429 
            inst_132              4     0.429      0.000      0.429 
            inst_234              4     0.429      0.000      0.429 
            inst_196              4     0.429      0.000      0.429 
            inst_3                3     0.416      0.000      0.416 
            inst_4                3     0.399      0.000      0.399 
            inst_10               3     0.399      0.000      0.399 
            inst_6                3     0.398      0.000      0.398 
            inst_220              4     0.394      0.000      0.394 
            inst_232              4     0.394      0.000      0.394 
            inst_228              4     0.393      0.000      0.393 
            inst_90               6     0.317      0.000      0.317 
            inst_106              5     0.315      0.000      0.315 
            inst_56               6     0.308      0.000      0.308 
            inst_64               6     0.308      0.000      0.308 
            inst_50               5     0.299      0.000      0.299 
            inst_54               5     0.299      0.000      0.299 
            inst_62               5     0.299      0.000      0.299 
            inst_48               5     0.290      0.000      0.290 
            inst_170              4     0.281      0.000      0.281 
            inst_122              5     0.281      0.000      0.281 
            inst_46               4     0.281      0.000      0.281 
            inst_186              5     0.280      0.000      0.280 
            inst_74               5     0.280      0.000      0.280 
            inst_52               5     0.275      0.000      0.275 
